year,party_count,speed_limit_kmh,alcohol_indicated,latitude,longitude,built_up_area,cyclists_involved,km_total,bicycle_parking_count,population,population_density_km2,station_id,weather_temp_mean_c,weather_temp_min_c,weather_temp_max_c,weather_precip_mm_total,weather_wind_mean_ms,weather_sunshine_hours_total,weather_humidity_mean_pct,weather_pressure_mean_hpa,weather_desde_estacion,province_Drenthe,province_Flevoland,province_Friesland,province_Gelderland,province_Groningen,province_Limburg,province_Noord-Brabant,province_Noord-Holland,province_Overijssel,province_Utrecht,province_Zeeland,province_Zuid-Holland,accident_type_Dier,accident_type_Eenzijdig,accident_type_Flank,accident_type_Frontaal,accident_type_Geparkeerd voertuig,accident_type_Kop/staart,accident_type_Los voorwerp,accident_type_Onbekend,accident_type_Vast voorwerp,accident_type_Voetganger,weather_label_clear,weather_label_fog,weather_label_rain,weather_label_unknown,periodo_luz_dia,periodo_luz_noche,periodo_luz_otro,road_situation_Bocht,"road_situation_Kruispunt, 3 takken","road_situation_Kruispunt, 4 takken",road_situation_Rechte weg,"road_situation_Rechte weg, gescheiden rijbanen",road_situation_Rotonde,road_situation_Uitvoegstrook op (auto)snelweg,road_lighting_Brandend,road_lighting_Niet aanwezig,road_lighting_Niet brandend,severity_label
2022,2,30.0,False,52.493475,6.099772,False,1,453.314,142.0,133141.0,1203.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2023,2,50.0,False,52.335805,5.634966,False,1,320.465,20.0,49387.0,1269.0,0.0,11.69078162771958,7.801498791297341,15.385850120870266,34990.1,4.902983257229832,60585.8,80.60153102336825,1013.9606392694063,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,injury
2022,2,50.0,False,52.684566,4.834162,False,1,162.559,6.0,90076.0,1455.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,material damage only
2022,2,50.0,False,52.391402,4.625152,False,1,161.888,173.0,167636.0,5739.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,injury
2022,2,50.0,False,52.042711,4.308355,False,1,0.0,0.0,0.0,0.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,2,30.0,False,51.924654,4.394976,False,1,161.475,44.0,81838.0,4596.0,344.0,11.965205479452056,7.465753424657534,16.036438356164386,795.9,4.106027397260274,2211.8,77.78904109589041,1016.9975342465752,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,3,30.0,False,51.804963,5.232114,False,1,56.168,19.0,30385.0,386.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,injury
2022,2,50.0,False,52.357735,4.899323,False,1,1254.468,2166.0,931298.0,4950.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,injury
2024,2,80.0,False,52.350183,6.272996,False,1,241.389,0.0,38364.0,224.0,278.0,11.57486338797814,7.453825136612021,15.60191256830601,990.4,2.9311475409836065,1715.1,82.40163934426229,1014.3126766985865,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,injury
2022,2,50.0,True,52.221346,6.869763,False,1,322.351,131.0,161738.0,1149.0,0.0,11.579567811643283,7.061761148294492,15.7217384292856,24005.5,4.521670480549199,70887.0,77.74770198355104,1016.9445955210238,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,fatal
