gemeente_code,gemeente_name,km_cycleway,km_track,km_lane,km_total,bicycle_parking_count
GM0014,Groningen,384.861,0.192,18.651,403.704,240
GM0034,Almere,1065.587,0.111,8.872,1074.57,179
GM0037,Stadskanaal,181.196,0.187,7.925,189.309,17
GM0047,Veendam,118.954,0.06,1.604,120.618,19
GM0050,Zeewolde,541.564,0.0,13.04,554.604,20
GM0059,Achtkarspelen,79.165,0.0,0.768,79.933,11
GM0060,Ameland,58.4,0.0,0.253,58.653,18
GM0072,Harlingen,32.02,0.0,0.0,32.02,14
GM0074,Heerenveen,161.183,0.0,1.362,162.545,29
GM0080,Leeuwarden,273.579,0.0,14.769,288.349,34
GM0085,Ooststellingwerf,322.915,0.0,0.0,322.915,35
GM0086,Opsterland,176.523,0.0,0.0,176.523,22
GM0088,Schiermonnikoog,28.158,0.0,2.129,30.287,17
GM0090,Smallingerland,110.585,0.425,6.629,117.64,25
GM0093,Terschelling,78.006,0.0,0.0,78.006,26
GM0096,Vlieland,22.494,0.305,0.0,22.799,36
GM0098,Weststellingwerf,88.124,0.0,0.247,88.371,12
GM0106,Assen,268.073,0.0,9.338,277.411,139
GM0109,Coevorden,359.628,0.52,2.978,363.125,55
GM0114,Emmen,724.98,0.0,48.519,773.499,82
GM0118,Hoogeveen,348.777,0.0,9.076,357.853,28
GM0119,Meppel,90.642,0.0,8.758,99.4,26
GM0141,Almelo,228.04,0.112,23.65,251.802,48
GM0147,Borne,51.56,0.0,20.822,72.382,10
GM0148,Dalfsen,215.58,0.0,24.29,239.87,4
GM0150,Deventer,403.87,0.508,51.963,456.34,194
GM0153,Enschede,284.814,0.786,36.751,322.351,131
GM0158,Haaksbergen,186.018,0.305,2.145,188.469,2
GM0160,Hardenberg,473.003,0.0,16.814,489.816,97
GM0163,Hellendoorn,231.316,1.177,35.424,267.918,8
GM0164,Hengelo (O.),280.553,0.929,18.015,299.496,68
GM0166,Kampen,272.528,0.0,17.727,290.256,12
GM0168,Losser,75.795,0.0,7.45,83.245,4
GM0171,Noordoostpolder,292.076,0.0,6.562,298.639,7
GM0173,Oldenzaal,57.25,0.0,4.569,61.818,9
GM0175,Ommen,245.915,0.0,5.792,251.707,98
GM0177,Raalte,218.017,0.0,23.372,241.389,0
GM0180,Staphorst,95.88,0.0,0.82,96.701,4
GM0183,Tubbergen,249.773,0.0,7.415,257.188,4
GM0184,Urk,31.795,0.0,3.394,35.188,1
GM0189,Wierden,158.849,0.0,10.305,169.153,14
GM0193,Zwolle,403.448,0.0,49.867,453.314,142
GM0197,Aalten,54.83,0.0,5.704,60.534,19
GM0200,Apeldoorn,638.412,1.101,31.37,670.883,172
GM0202,Arnhem,317.464,0.99,17.292,335.747,67
GM0203,Barneveld,360.823,0.0,11.252,372.075,61
GM0209,Beuningen,101.036,0.0,5.121,106.157,8
GM0213,Brummen,53.298,0.0,8.166,61.464,4
GM0214,Buren,147.515,0.0,4.34,151.855,5
GM0216,Culemborg,57.287,0.0,4.568,61.855,3
GM0221,Doesburg,19.136,0.0,3.849,22.985,5
GM0222,Doetinchem,116.361,0.263,5.07,121.694,73
GM0225,Druten,68.049,0.26,3.937,72.246,8
GM0226,Duiven,89.523,0.196,7.836,97.554,5
GM0228,Ede,565.922,1.494,38.221,605.638,166
GM0230,Elburg,103.903,0.0,9.29,113.193,4
GM0232,Epe,258.472,0.0,28.06,286.532,20
GM0233,Ermelo,301.512,0.0,22.941,324.453,20
GM0243,Harderwijk,306.236,0.0,14.229,320.465,20
GM0244,Hattem,56.003,0.0,3.647,59.65,14
GM0246,Heerde,149.523,0.0,19.196,168.719,26
GM0252,Heumen,194.198,0.0,43.43,237.627,51
GM0262,Lochem,205.221,0.804,74.091,280.116,4
GM0263,Maasdriel,67.182,0.169,13.991,81.341,11
GM0267,Nijkerk,267.638,0.0,19.184,286.821,18
GM0268,Nijmegen,413.593,2.411,48.434,464.437,164
GM0269,Oldebroek,133.559,0.0,5.273,138.832,1
GM0273,Putten,296.307,1.402,14.64,312.35,6
GM0274,Renkum,71.129,1.036,22.243,94.408,13
GM0275,Rheden,68.726,0.094,14.454,83.274,21
GM0277,Rozendaal,23.414,0.0,1.606,25.02,0
