gemeente_code,year,gemeente_name,province,area_km2,centroid_lat,centroid_lon,population,population_density_km2,accident_count,fatal_count,serious_injury_count,weather_mean_temp_mean_c,weather_mean_temp_min_c,weather_mean_temp_max_c,weather_mean_humidity_pct,weather_mean_pressure_hpa,weather_annual_precip_mm,weather_annual_sunshine_hours,km_cycleway,km_track,km_lane,km_total,bicycle_parking_count
GM0014,2015,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2016,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2017,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2018,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2019,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2020,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2021,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,0,0,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2022,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,363,2,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2023,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,392,4,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0014,2024,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0,379,3,0,,,,,,,,384.861,0.192,18.651,403.704,240
GM0034,2015,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
GM0034,2016,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
GM0034,2017,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
GM0034,2018,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
GM0034,2019,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
GM0034,2020,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0,0,0,0,,,,,,,,1065.587,0.111,8.872,1074.57,179
