gemeente_code,gemeente_name,province,area_km2,centroid_lat,centroid_lon,population,population_density_km2
GM0014,Groningen,Groningen,197.82,53.218597,6.620649,243768,1314.0
GM0034,Almere,Flevoland,139.34,52.367184,5.246656,226500,1753.0
GM0037,Stadskanaal,Groningen,119.86,53.00212,7.010251,32013,272.0
GM0047,Veendam,Groningen,78.68,53.089005,6.880065,27520,362.0
GM0050,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0
GM0059,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0
GM0060,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0
GM0072,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0
GM0074,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0
GM0080,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0
GM0085,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0
GM0086,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0
GM0088,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0
GM0090,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0
GM0093,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0
GM0096,Vlieland,,42.95,53.258558,4.974548,1255,30.0
GM0098,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0
GM0106,Assen,Drenthe,83.48,53.001261,6.552496,69701,851.0
GM0109,Coevorden,Drenthe,299.6,52.740226,6.735936,35725,121.0
GM0114,Emmen,Drenthe,346.13,52.749643,6.961922,109346,326.0
GM0118,Hoogeveen,Drenthe,129.37,52.72308,6.513614,56591,444.0
GM0119,Meppel,Drenthe,57.05,52.715945,6.193912,35810,645.0
GM0141,Almelo,Overijssel,69.38,52.347953,6.658128,74317,1106.0
GM0147,Borne,Overijssel,26.22,52.312348,6.743533,24639,948.0
GM0148,Dalfsen,Overijssel,166.51,52.514721,6.276676,29683,180.0
GM0150,Deventer,Overijssel,134.3,52.268242,6.235763,103405,792.0
GM0153,Enschede,Overijssel,142.71,52.220789,6.877772,161738,1149.0
GM0158,Haaksbergen,Overijssel,105.53,52.155517,6.755874,24359,232.0
GM0160,Hardenberg,Overijssel,317.13,52.585623,6.574159,62932,202.0
GM0163,Hellendoorn,Overijssel,138.96,52.386375,6.450851,36264,263.0
GM0164,Hengelo (O.),Overijssel,61.83,52.254984,6.77825,83058,1365.0
GM0166,Kampen,Overijssel,150.01,52.555777,5.931039,56177,398.0
GM0168,Losser,Overijssel,99.68,52.302814,7.002765,23376,237.0
GM0171,Noordoostpolder,Flevoland,466.03,52.712711,5.768089,50035,109.0
GM0173,Oldenzaal,Overijssel,21.96,52.307708,6.911053,31794,1475.0
GM0175,Ommen,Overijssel,182.02,52.516107,6.434759,19031,106.0
GM0177,Raalte,Overijssel,172.26,52.387826,6.279037,38364,224.0
GM0180,Staphorst,Overijssel,135.79,52.633514,6.207052,17739,132.0
GM0183,Tubbergen,Overijssel,147.49,52.410589,6.776758,21397,146.0
GM0184,Urk,Flevoland,13.48,52.664821,5.622901,21958,1671.0
GM0189,Wierden,Overijssel,95.35,52.344445,6.560592,24931,264.0
GM0193,Zwolle,Overijssel,119.25,52.518625,6.118395,133141,1203.0
GM0197,Aalten,Gelderland,97.07,51.921779,6.560609,27308,283.0
GM0200,Apeldoorn,Gelderland,341.05,52.189855,5.921941,168211,495.0
GM0202,Arnhem,Gelderland,101.59,52.001073,5.89265,167632,1715.0
GM0203,Barneveld,Gelderland,176.72,52.1683,5.641878,62592,356.0
GM0209,Beuningen,Gelderland,47.05,51.862805,5.740243,26725,613.0
GM0213,Brummen,Gelderland,84.96,52.108942,6.118456,21286,255.0
GM0214,Buren,Gelderland,143.0,51.938332,5.40361,27773,208.0
GM0216,Culemborg,Gelderland,31.16,51.945784,5.210394,29944,1023.0
GM0221,Doesburg,Gelderland,12.93,52.018761,6.146811,11079,959.0
GM0222,Doetinchem,Gelderland,79.68,51.960779,6.286639,59623,754.0
GM0225,Druten,Gelderland,42.37,51.87499,5.612268,19590,522.0
GM0226,Duiven,Gelderland,35.21,51.946523,6.018133,24872,734.0
GM0228,Ede,Gelderland,318.69,52.076425,5.728066,123532,388.0
GM0230,Elburg,Gelderland,64.08,52.41208,5.849923,23906,375.0
GM0232,Epe,Gelderland,157.44,52.325509,5.954945,33168,212.0
GM0233,Ermelo,Gelderland,85.48,52.28773,5.668313,27856,325.0
GM0243,Harderwijk,Gelderland,38.97,52.339476,5.655288,49387,1269.0
GM0244,Hattem,Gelderland,24.15,52.47482,6.053146,12624,547.0
GM0246,Heerde,Gelderland,80.47,52.406039,6.050364,19226,245.0
GM0252,Heumen,Gelderland,41.54,51.777878,5.818499,16836,424.0
GM0262,Lochem,Gelderland,216.0,52.179481,6.346886,34289,161.0
GM0263,Maasdriel,Gelderland,75.58,51.776235,5.296976,26197,398.0
GM0267,Nijkerk,Gelderland,70.0,52.210847,5.485741,45361,654.0
GM0268,Nijmegen,Gelderland,57.64,51.838527,5.836828,187049,3542.0
GM0269,Oldebroek,Gelderland,98.2,52.45674,5.9376,24281,249.0
GM0273,Putten,Gelderland,85.36,52.243263,5.584467,24978,293.0
GM0274,Renkum,Gelderland,47.26,51.989626,5.784837,31419,684.0
GM0275,Rheden,Gelderland,84.29,52.03357,6.051257,43661,534.0
GM0277,Rozendaal,Gelderland,27.86,52.042519,5.967941,1831,66.0
GM0279,Scherpenzeel,Gelderland,13.79,52.08932,5.50047,10343,750.0
GM0281,Tiel,Gelderland,35.52,51.885103,5.406971,42370,1292.0
GM0285,Voorst,Gelderland,126.47,52.225516,6.09911,25377,206.0
GM0289,Wageningen,Gelderland,32.35,51.973492,5.663516,42579,1400.0
GM0293,Westervoort,Gelderland,7.79,51.957497,5.970823,15151,2160.0
GM0294,Winterswijk,Gelderland,138.82,51.969855,6.725904,29231,212.0
GM0296,Wijchen,Gelderland,69.58,51.816734,5.701925,41545,629.0
GM0297,Zaltbommel,Gelderland,89.01,51.792246,5.158521,30385,386.0
GM0299,Zevenaar,Gelderland,106.13,51.924138,6.085308,45041,486.0
GM0301,Zutphen,Gelderland,42.9,52.136338,6.233918,48752,1191.0
GM0302,Nunspeet,Gelderland,128.86,52.33896,5.786572,29072,226.0
GM0303,Dronten,Flevoland,339.03,52.502679,5.701754,44354,133.0
GM0307,Amersfoort,Utrecht,63.81,52.173607,5.384681,161852,2590.0
GM0308,Baarn,Utrecht,33.02,52.203835,5.26418,25065,770.0
GM0310,De Bilt,Utrecht,67.14,52.141748,5.174345,43718,661.0
GM0312,Bunnik,Utrecht,37.59,52.04096,5.216956,16108,436.0
GM0313,Bunschoten,Utrecht,30.92,52.238736,5.358041,22619,744.0
GM0317,Eemnes,Utrecht,31.43,52.249886,5.27966,9755,314.0
GM0321,Houten,Utrecht,58.99,52.00412,5.181724,50847,926.0
GM0327,Leusden,Utrecht,58.83,52.122253,5.41652,31681,541.0
GM0331,Lopik,Utrecht,78.89,51.98539,4.945561,14724,195.0
GM0335,Montfoort,Utrecht,38.26,52.04771,4.944086,13868,369.0
GM0339,Renswoude,Utrecht,18.51,52.068973,5.534167,5753,313.0
GM0340,Rhenen,Utrecht,43.74,51.980779,5.560489,20235,482.0
GM0342,Soest,Utrecht,46.47,52.156198,5.296291,47682,1031.0
GM0344,Utrecht,Utrecht,99.19,52.091156,5.074746,374238,3991.0
GM0345,Veenendaal,Utrecht,19.74,52.023679,5.555665,69440,3575.0
GM0351,Woudenberg,Utrecht,36.78,52.081145,5.426801,14637,401.0
GM0352,Wijk bij Duurstede,Utrecht,50.42,51.989225,5.325261,23945,503.0
GM0353,IJsselstein,Utrecht,21.7,52.027657,5.028882,33421,1591.0
GM0355,Zeist,Utrecht,48.61,52.101965,5.255252,66641,1374.0
GM0356,Nieuwegein,Utrecht,25.68,52.030803,5.094668,65971,2817.0
GM0358,Aalsmeer,Noord-Holland,32.35,52.257743,4.755072,33279,1656.0
GM0361,Alkmaar,Noord-Holland,117.33,52.601808,4.803304,112304,1018.0
GM0362,Amstelveen,Noord-Holland,44.05,52.289273,4.851497,95014,2311.0
GM0363,Amsterdam,Noord-Holland,220.83,52.365041,4.908512,931298,4950.0
GM0373,Bergen (NH.),Noord-Holland,99.79,52.663461,4.669911,29932,302.0
GM0375,Beverwijk,Noord-Holland,18.92,52.484081,4.653663,42866,2336.0
GM0376,Blaricum,Noord-Holland,11.28,52.279598,5.260123,12724,1149.0
GM0377,Bloemendaal,Noord-Holland,40.69,52.38195,4.585797,23786,598.0
GM0383,Castricum,Noord-Holland,55.24,52.556969,4.682916,36366,733.0
GM0384,Diemen,Noord-Holland,12.92,52.336448,4.986924,32977,2760.0
GM0385,Edam-Volendam,Noord-Holland,57.3,52.541356,5.018976,36917,680.0
GM0388,Enkhuizen,Noord-Holland,13.81,52.720783,5.270708,18895,1492.0
GM0392,Haarlem,Noord-Holland,32.06,52.383426,4.647572,167636,5739.0
GM0394,Haarlemmermeer,Noord-Holland,206.23,52.308099,4.686459,163128,827.0
GM0396,Heemskerk,Noord-Holland,27.77,52.511937,4.648182,39452,1447.0
GM0397,Heemstede,Noord-Holland,9.65,52.344765,4.615428,27593,3008.0
GM0399,Heiloo,Noord-Holland,19.04,52.599862,4.708518,24312,1300.0
GM0400,Den Helder,Noord-Holland,47.35,52.92261,4.75402,56432,1251.0
GM0402,Hilversum,Noord-Holland,46.38,52.223143,5.167977,94435,2070.0
GM0405,Hoorn,Noord-Holland,20.96,52.656125,5.070036,75645,3713.0
GM0406,Huizen,Noord-Holland,15.92,52.292212,5.231773,41193,2605.0
GM0415,Landsmeer,Noord-Holland,26.53,52.450573,4.924532,11661,520.0
