year,party_count,speed_limit_kmh,alcohol_indicated,latitude,longitude,km_total,bicycle_parking_count,population,population_density_km2,weather_desde_estacion,province_Drenthe,province_Flevoland,province_Friesland,province_Gelderland,province_Groningen,province_Limburg,province_Noord-Brabant,province_Noord-Holland,province_Overijssel,province_Utrecht,province_Zeeland,province_Zuid-Holland,accident_type_Dier,accident_type_Eenzijdig,accident_type_Flank,accident_type_Frontaal,accident_type_Geparkeerd voertuig,accident_type_Kop/staart,accident_type_Los voorwerp,accident_type_Onbekend,accident_type_Vast voorwerp,accident_type_Voetganger,weather_label_clear,weather_label_fog,weather_label_rain,weather_label_unknown,periodo_luz_dia,periodo_luz_noche,periodo_luz_otro,road_situation_Bocht,"road_situation_Kruispunt, 3 takken","road_situation_Kruispunt, 4 takken",road_situation_Rechte weg,"road_situation_Rechte weg, gescheiden rijbanen",road_situation_Rotonde,road_situation_Uitvoegstrook op (auto)snelweg,road_lighting_Brandend,road_lighting_Niet aanwezig,road_lighting_Niet brandend,severity_label
2022,2,30.0,False,52.493475,6.099772,453.314,142.0,133141.0,1203.0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2023,2,50.0,False,52.335805,5.634966,320.465,20.0,49387.0,1269.0,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,injury
2022,2,50.0,False,52.684566,4.834162,162.559,6.0,90076.0,1455.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,material damage only
2022,2,50.0,False,52.391402,4.625152,161.888,173.0,167636.0,5739.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,injury
2022,2,50.0,False,52.042711,4.308355,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,2,30.0,False,51.924654,4.394976,161.475,44.0,81838.0,4596.0,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,3,30.0,False,51.804963,5.232114,56.168,19.0,30385.0,386.0,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,injury
2022,2,50.0,False,52.357735,4.899323,1254.468,2166.0,931298.0,4950.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,injury
2024,2,80.0,False,52.350183,6.272996,241.389,0.0,38364.0,224.0,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,injury
2022,2,50.0,True,52.221346,6.869763,322.351,131.0,161738.0,1149.0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,fatal
2022,2,50.0,False,53.187576,7.077056,150.003,12.0,39405.0,174.0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,injury
2022,2,30.0,False,51.417805,5.555922,168.035,51.0,40733.0,1313.0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,material damage only
2022,2,50.0,False,53.205256,5.806737,288.349,34.0,128810.0,542.0,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,material damage only
2022,2,50.0,False,53.227113,6.59066,403.704,240.0,243768.0,1314.0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,2,30.0,False,51.865515,5.763712,106.157,8.0,26725.0,613.0,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,material damage only
2022,2,50.0,False,52.386422,4.646857,161.888,173.0,167636.0,5739.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,injury
2022,1,50.0,False,52.056053,4.313088,487.675,651.0,566221.0,6868.0,False,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,injury
2022,1,50.0,False,52.470737,4.804668,157.83,33.0,161389.0,2189.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,injury
2022,2,50.0,False,51.633545,5.341948,45.465,13.0,30094.0,516.0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,injury
2022,2,30.0,False,52.186297,5.40027,210.242,139.0,161852.0,2590.0,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,material damage only
2022,2,30.0,False,52.03533,5.342681,133.852,27.0,50550.0,383.0,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,injury
2022,2,30.0,False,52.932984,4.778584,125.843,60.0,56432.0,1251.0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,injury
2022,2,50.0,False,51.694491,5.262568,314.239,91.0,160757.0,1468.0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,material damage only
2022,2,80.0,False,51.49561,5.420755,73.991,13.0,31223.0,921.0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,injury
2022,2,50.0,False,51.937166,4.462676,1465.201,1076.0,670610.0,3070.0,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,material damage only
